UID,DAY_OF_WEEK,CRS_DEP_TIME,TAXI_OUT,TAXI_IN,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,AIRLINE_ID,FL_DATE,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,FL_NUM,UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,FIRST_DEP_TIME,ARR_DELAY
1448,7,1815,14,12,108,599,3,19977,2017-04-02,30977,31057,69,UA,ORD,"Chicago, IL",IL,CLT,"Charlotte, NC",NC,,-33
1449,4,645,12,8,57,192,1,19805,2017-04-20,31454,32467,1461,AA,MCO,"Orlando, FL",FL,MIA,"Miami, FL",FL,,-11
1450,5,1050,15,7,193,"1,448",6,19930,2017-04-28,30299,30559,100,AS,ANC,"Anchorage, AK",AK,SEA,"Seattle, WA",WA,,-9
1451,1,745,11,5,58,214,1,19790,2017-04-17,34685,30397,2507,DL,SAV,"Savannah, GA",GA,ATL,"Atlanta, GA",GA,,-22
1452,1,1659,24,9,141,759,4,19805,2017-04-24,30852,31454,1741,AA,DCA,"Washington, DC",VA,MCO,"Orlando, FL",FL,,44
1453,6,1920,13,4,162,"1,105",5,19393,2017-04-22,31714,30977,4949,WN,RSW,"Fort Myers, FL",FL,MDW,"Chicago, IL",IL,,-4
1455,5,840,14,2,106,630,3,19790,2017-04-14,34614,34057,2189,DL,SLC,"Salt Lake City, UT",UT,PDX,"Portland, OR",OR,,-18
1456,3,945,20,3,369,"2,556",11,19805,2017-04-12,32575,32134,283,AA,LAX,"Los Angeles, CA",CA,HNL,"Honolulu, HI",HI,,-11
1457,7,510,13,6,83,448,2,20366,2017-04-09,30781,30397,5534,EV,BTR,"Baton Rouge, LA",LA,ATL,"Atlanta, GA",GA,,311
1458,2,1458,16,3,131,853,4,19790,2017-04-25,30397,30257,2033,DL,ATL,"Atlanta, GA",GA,ALB,"Albany, NY",NY,,-1
1459,3,1000,17,4,274,"2,295",10,19393,2017-04-19,33570,30852,6613,WN,SAN,"San Diego, CA",CA,BWI,"Baltimore, MD",MD,,-18
1460,7,700,12,35,225,"1,514",7,19805,2017-04-09,32211,30977,2562,AA,LAS,"Las Vegas, NV",NV,ORD,"Chicago, IL",IL,,-2
1461,3,1025,8,5,43,137,1,19393,2017-04-05,30977,31986,1856,WN,MDW,"Chicago, IL",IL,GRR,"Grand Rapids, MI",MI,,-4
1462,1,1845,15,11,193,"1,197",5,19805,2017-04-24,30977,32467,2193,AA,ORD,"Chicago, IL",IL,MIA,"Miami, FL",FL,,10
1463,5,1220,23,4,58,173,1,20366,2017-04-21,30977,31977,4162,EV,ORD,"Chicago, IL",IL,GRB,"Green Bay, WI",WI,,2
1464,6,1600,33,5,106,425,2,19393,2017-04-29,33495,30397,5120,WN,MSY,"New Orleans, LA",LA,ATL,"Atlanta, GA",GA,,32
1465,2,2210,7,9,330,"2,640",11,19930,2017-04-04,33830,30559,878,AS,OGG,"Kahului, HI",HI,SEA,"Seattle, WA",WA,,-7
1466,5,1450,7,4,51,255,2,19393,2017-04-07,30466,32211,753,WN,PHX,"Phoenix, AZ",AZ,LAS,"Las Vegas, NV",NV,,0
1469,7,820,11,9,129,746,3,19790,2017-04-02,31703,30397,807,DL,EWR,"Newark, NJ",NJ,ATL,"Atlanta, GA",GA,,-24
1470,1,908,11,6,130,794,4,19977,2017-04-03,33214,30325,456,UA,SAT,"San Antonio, TX",TX,DEN,"Denver, CO",CO,,-21
1471,7,1010,26,4,109,509,3,20304,2017-04-16,30466,34236,3075,OO,PHX,"Phoenix, AZ",AZ,SBP,"San Luis Obispo, CA",CA,,-3
1472,4,1450,7,8,193,"1,246",5,21171,2017-04-06,30194,32575,883,VX,DAL,"Dallas, TX",TX,LAX,"Los Angeles, CA",CA,,228
1473,4,1833,17,29,143,641,3,20436,2017-04-13,30194,30325,131,F9,DFW,"Dallas/Fort Worth, TX",TX,DEN,"Denver, CO",CO,,5
1474,1,930,26,3,146,726,3,20304,2017-04-03,32575,34489,3030,OO,LAX,"Los Angeles, CA",CA,RDM,"Bend/Redmond, OR",OR,,1
1475,7,804,19,12,61,134,1,19790,2017-04-02,30599,30397,2242,DL,BHM,"Birmingham, AL",AL,ATL,"Atlanta, GA",GA,,-7
1476,4,1040,10,6,77,417,2,19393,2017-04-06,33570,32457,1724,WN,SAN,"San Diego, CA",CA,SJC,"San Jose, CA",CA,,7
1477,4,730,21,4,164,997,4,19977,2017-04-27,31703,33195,1582,UA,EWR,"Newark, NJ",NJ,TPA,"Tampa, FL",FL,,-11
1478,6,1315,9,8,214,"1,751",8,19393,2017-04-22,33570,30693,2613,WN,SAN,"San Diego, CA",CA,BNA,"Nashville, TN",TN,,-14
1479,4,1956,22,5,61,157,1,20304,2017-04-13,31295,34696,4754,OO,DTW,"Detroit, MI",MI,SBN,"South Bend, IN",IN,,22
1480,2,1936,38,9,148,590,3,20304,2017-04-18,34614,32575,5563,OO,SLC,"Salt Lake City, UT",UT,LAX,"Los Angeles, CA",CA,,38
1481,3,1355,12,9,145,843,4,19393,2017-04-12,33214,30466,753,WN,SAT,"San Antonio, TX",TX,PHX,"Phoenix, AZ",AZ,,1
1482,1,1250,15,6,231,"1,521",7,20409,2017-04-10,31703,30423,795,B6,JFK,"New York, NY",NY,AUS,"Austin, TX",TX,,-35
1484,7,605,23,7,117,646,3,19393,2017-04-09,32457,30466,4783,WN,OAK,"Oakland, CA",CA,PHX,"Phoenix, AZ",AZ,,-1
1485,1,1330,18,5,137,852,4,20304,2017-04-03,34252,30325,5434,OO,PSC,"Pasco/Kennewick/Richland, WA",WA,DEN,"Denver, CO",CO,,-20
1486,6,900,8,5,76,391,2,19393,2017-04-15,33728,30693,5223,WN,PNS,"Pensacola, FL",FL,BNA,"Nashville, TN",TN,,-9
1487,5,805,8,6,205,"1,587",7,19393,2017-04-14,32211,30693,1917,WN,LAS,"Las Vegas, NV",NV,BNA,"Nashville, TN",TN,,4
1489,2,1005,16,5,273,"1,754",8,19393,2017-04-18,30721,30325,4049,WN,BOS,"Boston, MA",MA,DEN,"Denver, CO",CO,,-12
1490,2,1910,8,4,124,986,4,19393,2017-04-18,32211,33851,1598,WN,LAS,"Las Vegas, NV",NV,OKC,"Oklahoma City, OK",OK,,-18
1491,3,1725,11,8,47,86,1,20304,2017-04-05,33192,32457,5097,OO,SMF,"Sacramento, CA",CA,SFO,"San Francisco, CA",CA,,-15
1492,6,1257,11,7,47,130,1,19805,2017-04-22,34492,31057,1827,AA,RDU,"Raleigh/Durham, NC",NC,CLT,"Charlotte, NC",NC,,-4
1493,6,1749,12,13,298,"1,947",8,19790,2017-04-22,30397,32575,1218,DL,ATL,"Atlanta, GA",GA,LAX,"Los Angeles, CA",CA,,2
1494,6,1645,16,4,128,787,4,19393,2017-04-08,31454,30852,269,WN,MCO,"Orlando, FL",FL,BWI,"Baltimore, MD",MD,,10
1495,7,2130,20,5,84,411,2,19790,2017-04-30,33105,30852,895,DL,CVG,"Cincinnati, OH",KY,DCA,"Washington, DC",VA,,-2
1496,7,1550,15,2,171,"1,039",5,19790,2017-04-23,33495,31650,2555,DL,MSY,"New Orleans, LA",LA,MSP,"Minneapolis, MN",MN,,-5
1497,6,1458,22,3,77,334,2,19977,2017-04-08,31650,30977,1722,UA,MSP,"Minneapolis, MN",MN,ORD,"Chicago, IL",IL,,-24
1499,7,1350,13,7,238,"1,670",7,19790,2017-04-16,33495,32575,1975,DL,MSY,"New Orleans, LA",LA,LAX,"Los Angeles, CA",CA,,-10
1500,2,1235,20,4,72,284,2,20366,2017-04-18,31703,33667,3794,EV,EWR,"Newark, NJ",NJ,ORF,"Norfolk, VA",VA,,-13
1502,3,1305,19,4,196,"1,416",6,19790,2017-04-12,31650,31714,1727,DL,MSP,"Minneapolis, MN",MN,RSW,"Fort Myers, FL",FL,,-10
1503,2,1002,12,4,104,577,3,19790,2017-04-04,30852,30397,2608,DL,BWI,"Baltimore, MD",MD,ATL,"Atlanta, GA",GA,,-13
1504,1,1435,14,5,136,991,4,19393,2017-04-24,34057,30325,2481,WN,PDX,"Portland, OR",OR,DEN,"Denver, CO",CO,,5
1505,6,900,17,6,74,277,2,20366,2017-04-15,34524,31703,4161,EV,RIC,"Richmond, VA",VA,EWR,"Newark, NJ",NJ,,-16
1506,6,810,14,17,117,606,3,19790,2017-04-22,30397,30977,2012,DL,ATL,"Atlanta, GA",GA,ORD,"Chicago, IL",IL,,-15
1507,2,1740,15,3,366,"2,688",11,19930,2017-04-11,30559,32758,807,AS,SEA,"Seattle, WA",WA,KOA,"Kona, HI",HI,,-24
1508,4,951,15,5,55,214,1,19790,2017-04-20,30397,34685,2041,DL,ATL,"Atlanta, GA",GA,SAV,"Savannah, GA",GA,,-14
1510,1,825,16,3,106,646,3,19790,2017-04-24,30397,31624,2417,DL,ATL,"Atlanta, GA",GA,EYW,"Key West, FL",FL,,-8
1511,4,1530,6,3,55,281,2,19393,2017-04-27,30852,30792,61,WN,BWI,"Baltimore, MD",MD,BUF,"Buffalo, NY",NY,,2
1512,7,630,11,17,187,"1,243",5,19393,2017-04-16,33342,32467,462,WN,MKE,"Milwaukee, WI",WI,FLL,"Fort Lauderdale, FL",FL,,-8
1513,1,840,15,4,142,991,4,19790,2017-04-17,34614,31650,2499,DL,SLC,"Salt Lake City, UT",UT,MSP,"Minneapolis, MN",MN,,-19
1514,1,1020,13,11,236,"1,514",7,19805,2017-04-10,30977,32211,2470,AA,ORD,"Chicago, IL",IL,LAS,"Las Vegas, NV",NV,,-1
1515,3,955,24,2,120,675,3,20366,2017-04-12,31057,30781,2805,EV,CLT,"Charlotte, NC",NC,BTR,"Baton Rouge, LA",LA,,5
1516,2,2230,15,7,267,"2,173",9,20416,2017-04-18,32211,32467,954,NK,LAS,"Las Vegas, NV",NV,FLL,"Fort Lauderdale, FL",FL,,12
1517,4,1959,14,9,111,632,3,19790,2017-04-20,31295,30721,188,DL,DTW,"Detroit, MI",MI,BOS,"Boston, MA",MA,,-2
1518,6,615,9,4,155,"1,142",5,19393,2017-04-22,31454,30721,2755,WN,MCO,"Orlando, FL",FL,MHT,"Manchester, NH",NH,,-19
1519,4,1150,22,4,126,717,3,20304,2017-04-20,30977,33667,2887,OO,ORD,"Chicago, IL",IL,ORF,"Norfolk, VA",VA,,-2
1521,1,1615,9,7,250,"1,590",7,19393,2017-04-24,32337,32211,1815,WN,IND,"Indianapolis, IN",IN,LAS,"Las Vegas, NV",NV,,3
1522,4,45,22,7,196,"1,464",6,19805,2017-04-06,32457,30194,464,AA,SFO,"San Francisco, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,,33
1523,5,1710,10,5,74,370,2,19805,2017-04-07,30466,32575,695,AA,PHX,"Phoenix, AZ",AZ,LAX,"Los Angeles, CA",CA,,-14
1524,2,1155,8,6,109,655,3,19393,2017-04-25,33667,31454,229,WN,ORF,"Norfolk, VA",VA,MCO,"Orlando, FL",FL,,-6
1525,7,1559,12,4,167,"1,056",5,20409,2017-04-16,31703,34027,2067,B6,HPN,"White Plains, NY",NY,PBI,"West Palm Beach/Palm Beach, FL",FL,,-21
1526,3,2140,16,6,301,"2,457",10,19977,2017-04-26,32457,30852,1153,UA,SFO,"San Francisco, CA",CA,BWI,"Baltimore, MD",MD,,-18
1527,6,1530,15,7,114,594,3,19790,2017-04-29,31295,30397,325,DL,DTW,"Detroit, MI",MI,ATL,"Atlanta, GA",GA,,-4
1528,4,1205,6,4,99,569,3,19393,2017-04-13,34057,32457,908,WN,PDX,"Portland, OR",OR,SJC,"San Jose, CA",CA,,-8
1530,5,1120,7,3,75,377,2,19393,2017-04-14,30721,30852,1497,WN,MHT,"Manchester, NH",NH,BWI,"Baltimore, MD",MD,,-5
1531,7,1650,8,5,101,738,3,19393,2017-04-02,31123,30852,2976,WN,STL,"St. Louis, MO",MO,BWI,"Baltimore, MD",MD,,155
1532,1,2020,13,7,62,223,1,19393,2017-04-24,32575,32211,1311,WN,BUR,"Burbank, CA",CA,LAS,"Las Vegas, NV",NV,,12
1533,3,2015,10,4,157,"1,087",5,19790,2017-04-12,34614,33214,2632,DL,SLC,"Salt Lake City, UT",UT,SAT,"San Antonio, TX",TX,,-13
1534,7,1455,11,6,97,554,3,19790,2017-04-09,30397,30647,1158,DL,ATL,"Atlanta, GA",GA,CLE,"Cleveland, OH",OH,,-13
1535,5,1520,9,5,71,342,2,19393,2017-04-14,31123,33316,276,WN,STL,"St. Louis, MO",MO,OMA,"Omaha, NE",NE,,-1
1537,1,1118,20,4,127,909,4,20304,2017-04-24,33192,30325,5355,OO,SMF,"Sacramento, CA",CA,DEN,"Denver, CO",CO,,-24
1538,7,1000,22,3,173,"1,020",5,19790,2017-04-09,31703,31650,1496,DL,LGA,"New York, NY",NY,MSP,"Minneapolis, MN",MN,,-45
1539,1,1735,29,11,167,950,4,19790,2017-04-17,31703,31454,1585,DL,LGA,"New York, NY",NY,MCO,"Orlando, FL",FL,,-10
1540,2,900,38,10,200,957,4,20436,2017-04-04,31454,31295,1668,F9,MCO,"Orlando, FL",FL,DTW,"Detroit, MI",MI,,52
1541,3,1325,12,5,77,417,2,19393,2017-04-12,32457,33570,1540,WN,SJC,"San Jose, CA",CA,SAN,"San Diego, CA",CA,,-1
1542,6,900,24,9,292,"1,874",8,19977,2017-04-22,31453,30559,438,UA,IAH,"Houston, TX",TX,SEA,"Seattle, WA",WA,,0
1546,5,1529,19,4,91,419,2,20366,2017-04-07,31703,30647,4212,EV,LGA,"New York, NY",NY,CLE,"Cleveland, OH",OH,,-19
1547,3,2236,13,4,56,259,2,19790,2017-04-26,30397,30994,2207,DL,ATL,"Atlanta, GA",GA,CHS,"Charleston, SC",SC,,-19
1548,3,1005,19,6,351,"2,338",10,19690,2017-04-12,32457,33830,41,HA,SFO,"San Francisco, CA",CA,OGG,"Kahului, HI",HI,,10
1549,4,1411,13,9,151,812,4,19805,2017-04-27,33105,30194,2268,AA,CVG,"Cincinnati, OH",KY,DFW,"Dallas/Fort Worth, TX",TX,,1
1550,1,1420,7,5,93,483,2,19393,2017-04-03,31136,30693,590,WN,JAX,"Jacksonville, FL",FL,BNA,"Nashville, TN",TN,,18
1551,4,2110,10,6,105,678,3,19977,2017-04-06,30977,34100,640,UA,ORD,"Chicago, IL",IL,PHL,"Philadelphia, PA",PA,,107
1552,5,1545,45,76,441,"2,475",10,19790,2017-04-07,31703,32575,440,DL,JFK,"New York, NY",NY,LAX,"Los Angeles, CA",CA,,89
1555,7,2050,8,9,311,"2,615",11,19977,2017-04-23,32982,32575,1292,UA,LIH,"Lihue, HI",HI,LAX,"Los Angeles, CA",CA,,-20
1556,2,1530,12,4,96,458,2,20304,2017-04-18,30325,32280,5693,OO,DEN,"Denver, CO",CO,IDA,"Idaho Falls, ID",ID,,-8
1557,5,1015,14,3,104,610,3,20304,2017-04-07,31295,33244,4491,OO,DTW,"Detroit, MI",MI,MEM,"Memphis, TN",TN,,-8
1558,3,1650,8,6,270,"1,751",8,19393,2017-04-19,30977,32575,3980,WN,MDW,"Chicago, IL",IL,LAX,"Los Angeles, CA",CA,,24
1559,6,1635,9,22,232,"1,520",7,19805,2017-04-29,34945,31057,808,AA,STT,"Charlotte Amalie, VI",VI,CLT,"Charlotte, NC",NC,,-11
1560,5,1245,30,5,169,903,4,19790,2017-04-28,30721,30397,2812,DL,PVD,"Providence, RI",RI,ATL,"Atlanta, GA",GA,,1
1561,4,530,12,5,132,909,4,19977,2017-04-13,33192,30325,410,UA,SMF,"Sacramento, CA",CA,DEN,"Denver, CO",CO,,-22
1562,5,1810,16,5,73,323,2,19393,2017-04-28,30279,30194,3335,WN,AMA,"Amarillo, TX",TX,DAL,"Dallas, TX",TX,,18
1563,1,1550,11,10,107,674,3,19393,2017-04-17,33495,32467,1432,WN,MSY,"New Orleans, LA",LA,FLL,"Fort Lauderdale, FL",FL,,2
1564,7,1355,15,4,99,577,3,19790,2017-04-16,30852,30397,1153,DL,BWI,"Baltimore, MD",MD,ATL,"Atlanta, GA",GA,,-9
1565,5,1115,25,17,251,"1,723",7,19805,2017-04-14,33570,30977,156,AA,SAN,"San Diego, CA",CA,ORD,"Chicago, IL",IL,,-7
1567,7,1207,11,12,69,192,1,20366,2017-04-23,30868,30397,5194,EV,CAE,"Columbia, SC",SC,ATL,"Atlanta, GA",GA,,-15
1568,4,1224,13,5,94,550,3,19977,2017-04-27,34057,32457,357,UA,PDX,"Portland, OR",OR,SFO,"San Francisco, CA",CA,,-10
1570,2,710,9,6,59,236,1,19393,2017-04-11,32575,32211,1565,WN,LAX,"Los Angeles, CA",CA,LAS,"Las Vegas, NV",NV,,9
1571,3,1948,21,34,113,337,2,19790,2017-04-05,32457,32575,2781,DL,SFO,"San Francisco, CA",CA,LAX,"Los Angeles, CA",CA,,9
1572,5,1715,12,12,177,"1,107",5,19805,2017-04-21,30466,30559,481,AA,PHX,"Phoenix, AZ",AZ,SEA,"Seattle, WA",WA,,-7
1573,4,945,20,5,111,601,3,20304,2017-04-13,34614,30436,4514,OO,SLC,"Salt Lake City, UT",UT,TUS,"Tucson, AZ",AZ,,-11
1574,3,1250,10,7,102,628,3,20436,2017-04-05,32211,30325,774,F9,LAS,"Las Vegas, NV",NV,DEN,"Denver, CO",CO,,-29
1575,1,1330,16,5,94,421,2,20304,2017-04-17,32457,34262,5460,OO,SFO,"San Francisco, CA",CA,PSP,"Palm Springs, CA",CA,,151
1576,1,710,20,13,182,946,4,19790,2017-04-24,30721,30397,1501,DL,BOS,"Boston, MA",MA,ATL,"Atlanta, GA",GA,,3
1577,2,1810,12,6,202,"1,448",6,19930,2017-04-25,30299,30559,82,AS,ANC,"Anchorage, AK",AK,SEA,"Seattle, WA",WA,,-7
1579,1,1730,15,5,88,327,2,19393,2017-04-24,30721,30852,1915,WN,PVD,"Providence, RI",RI,BWI,"Baltimore, MD",MD,,-3
1580,6,1945,12,5,69,323,2,19393,2017-04-29,30852,31066,2261,WN,DCA,"Washington, DC",VA,CMH,"Columbus, OH",OH,,-25
1581,6,1315,13,8,154,"1,121",5,19805,2017-04-01,30194,32467,1462,AA,DFW,"Dallas/Fort Worth, TX",TX,MIA,"Miami, FL",FL,,-15
1582,7,1105,32,7,127,508,3,20304,2017-04-30,31823,30397,4646,OO,FWA,"Fort Wayne, IN",IN,ATL,"Atlanta, GA",GA,,8
1583,2,1500,21,6,63,134,1,19790,2017-04-25,30599,30397,116,DL,BHM,"Birmingham, AL",AL,ATL,"Atlanta, GA",GA,,4
1584,3,846,11,6,87,391,2,20304,2017-04-26,30325,34614,3522,OO,DEN,"Denver, CO",CO,SLC,"Salt Lake City, UT",UT,,-12
1585,7,840,11,7,131,759,4,19393,2017-04-30,31453,30140,1337,WN,HOU,"Houston, TX",TX,ABQ,"Albuquerque, NM",NM,,4
1587,1,1452,15,5,56,216,1,19690,2017-04-24,32134,32402,222,HA,HNL,"Honolulu, HI",HI,ITO,"Hilo, HI",HI,,-1
1588,5,1630,14,3,99,630,3,19930,2017-04-07,34057,34614,714,AS,PDX,"Portland, OR",OR,SLC,"Salt Lake City, UT",UT,,-8
1589,1,940,17,5,265,"2,072",9,19805,2017-04-03,30977,34819,395,AA,ORD,"Chicago, IL",IL,SJU,"San Juan, PR",PR,,-14
1590,5,1830,22,8,216,"1,400",6,19977,2017-04-28,31453,31703,704,UA,IAH,"Houston, TX",TX,EWR,"Newark, NJ",NJ,,20
1591,1,1040,11,7,378,"2,485",10,21171,2017-04-10,32575,33830,121,VX,LAX,"Los Angeles, CA",CA,OGG,"Kahului, HI",HI,,23
1592,2,835,24,4,121,588,3,20304,2017-04-11,34614,32575,4644,OO,SLC,"Salt Lake City, UT",UT,LGB,"Long Beach, CA",CA,,-8
1593,7,555,14,5,86,444,2,19790,2017-04-02,34986,30397,1533,DL,SRQ,"Sarasota/Bradenton, FL",FL,ATL,"Atlanta, GA",GA,,-18
1594,7,1905,31,10,140,679,3,19790,2017-04-02,30559,32457,1939,DL,SEA,"Seattle, WA",WA,SFO,"San Francisco, CA",CA,,120
1596,7,1010,16,3,308,"2,475",10,20409,2017-04-09,32575,31703,224,B6,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,,-20
1597,4,1205,18,7,169,"1,184",5,19393,2017-04-06,30194,30852,168,WN,DAL,"Dallas, TX",TX,DCA,"Washington, DC",VA,,264
1598,4,1419,18,4,262,944,4,20409,2017-04-06,31454,31703,1884,B6,MCO,"Orlando, FL",FL,JFK,"New York, NY",NY,,174
1600,1,615,23,6,185,"1,303",6,19977,2017-04-17,33570,31453,2018,UA,SAN,"San Diego, CA",CA,IAH,"Houston, TX",TX,,-13
1601,1,1854,16,11,176,"1,005",5,19805,2017-04-17,31454,30977,1212,AA,MCO,"Orlando, FL",FL,ORD,"Chicago, IL",IL,,70
1602,4,2204,15,4,59,272,2,20304,2017-04-27,34614,34794,7397,OO,SLC,"Salt Lake City, UT",UT,SGU,"St. George, UT",UT,,-14
1603,7,630,10,11,52,116,1,20304,2017-04-09,30685,30977,2939,OO,BMI,"Bloomington/Normal, IL",IL,ORD,"Chicago, IL",IL,,-15
1604,6,700,12,5,171,"1,182",5,20409,2017-04-08,30977,32467,563,B6,ORD,"Chicago, IL",IL,FLL,"Fort Lauderdale, FL",FL,,-36
1605,2,2027,33,5,138,794,4,19977,2017-04-04,30325,33214,402,UA,DEN,"Denver, CO",CO,SAT,"San Antonio, TX",TX,,2
1607,1,936,12,3,39,102,1,19690,2017-04-24,32134,32982,345,HA,HNL,"Honolulu, HI",HI,LIH,"Lihue, HI",HI,,-9
1608,5,1830,13,12,90,466,2,20366,2017-04-28,33029,30977,4382,EV,LNK,"Lincoln, NE",NE,ORD,"Chicago, IL",IL,,-17
1609,2,1930,13,6,62,239,1,19393,2017-04-18,30194,31453,53,WN,DAL,"Dallas, TX",TX,HOU,"Houston, TX",TX,,42
1610,3,1515,7,3,117,735,3,19393,2017-04-19,30466,30713,1430,WN,PHX,"Phoenix, AZ",AZ,BOI,"Boise, ID",ID,,-7
1611,2,2030,15,23,308,"1,916",8,19805,2017-04-25,31057,32211,643,AA,CLT,"Charlotte, NC",NC,LAS,"Las Vegas, NV",NV,,39
1612,2,1713,15,4,353,"2,381",10,20416,2017-04-18,30721,32211,641,NK,BOS,"Boston, MA",MA,LAS,"Las Vegas, NV",NV,,-12
1613,2,1555,16,6,93,438,2,20366,2017-04-11,30977,34783,3802,EV,ORD,"Chicago, IL",IL,SGF,"Springfield, MO",MO,,-11
1614,7,1428,10,4,156,"1,047",5,19790,2017-04-16,34986,31703,2126,DL,SRQ,"Sarasota/Bradenton, FL",FL,LGA,"New York, NY",NY,,-17
1615,6,620,9,7,226,"1,751",8,19393,2017-04-15,34057,30977,2718,WN,PDX,"Portland, OR",OR,MDW,"Chicago, IL",IL,,-17
1617,6,1405,9,5,63,368,2,19790,2017-04-08,32211,34614,2270,DL,LAS,"Las Vegas, NV",NV,SLC,"Salt Lake City, UT",UT,,58
1618,5,1505,18,13,165,719,3,19977,2017-04-21,31703,30977,1062,UA,EWR,"Newark, NJ",NJ,ORD,"Chicago, IL",IL,,13
1619,6,600,22,7,80,224,1,20304,2017-04-01,35380,30977,3060,OO,TVC,"Traverse City, MI",MI,ORD,"Chicago, IL",IL,,-16
1620,3,1525,11,3,93,507,3,19790,2017-04-19,34614,30466,527,DL,SLC,"Salt Lake City, UT",UT,PHX,"Phoenix, AZ",AZ,,-10
1621,7,805,25,1,376,"2,454",10,19790,2017-04-02,31703,34057,425,DL,JFK,"New York, NY",NY,PDX,"Portland, OR",OR,,11
1622,6,1304,13,6,214,"1,749",7,20416,2017-04-08,32211,31295,388,NK,LAS,"Las Vegas, NV",NV,DTW,"Detroit, MI",MI,,-33
1623,6,1550,10,5,53,201,1,20366,2017-04-08,31453,31140,4217,EV,IAH,"Houston, TX",TX,CRP,"Corpus Christi, TX",TX,,-18
1624,2,1005,15,10,165,925,4,20304,2017-04-18,30977,31453,3026,OO,ORD,"Chicago, IL",IL,IAH,"Houston, TX",TX,,-5
1626,6,1500,28,4,68,196,1,20304,2017-04-01,30977,31003,2970,OO,ORD,"Chicago, IL",IL,CID,"Cedar Rapids/Iowa City, IA",IA,,2
1627,5,1405,13,8,89,419,2,20366,2017-04-14,30647,31703,5227,EV,CLE,"Cleveland, OH",OH,LGA,"New York, NY",NY,"1,400",106
1628,4,1830,17,14,76,236,1,19805,2017-04-06,32575,32211,1519,AA,LAX,"Los Angeles, CA",CA,LAS,"Las Vegas, NV",NV,,-7
1629,4,1500,8,4,172,"1,009",5,19393,2017-04-27,30466,34057,1351,WN,PHX,"Phoenix, AZ",AZ,PDX,"Portland, OR",OR,,13
1630,1,2325,9,4,263,"2,288",10,21171,2017-04-03,32575,30852,114,VX,LAX,"Los Angeles, CA",CA,IAD,"Washington, DC",VA,,-26
1631,3,855,10,6,76,405,2,19393,2017-04-05,33198,30977,1424,WN,MCI,"Kansas City, MO",MO,MDW,"Chicago, IL",IL,,-8
1633,3,2210,18,5,291,"2,419",10,19977,2017-04-12,32457,30852,697,UA,SFO,"San Francisco, CA",CA,IAD,"Washington, DC",VA,,-22
1635,4,645,10,6,87,448,2,19393,2017-04-06,30647,30693,276,WN,CLE,"Cleveland, OH",OH,BNA,"Nashville, TN",TN,,-12
1636,2,500,10,2,73,386,2,19790,2017-04-04,30627,31650,1154,DL,BIS,"Bismarck/Mandan, ND",ND,MSP,"Minneapolis, MN",MN,,-28
1637,6,1545,12,5,166,"1,096",5,19790,2017-04-01,31703,32467,1982,DL,LGA,"New York, NY",NY,MIA,"Miami, FL",FL,,-42
1638,7,835,7,6,113,756,4,19393,2017-04-16,30423,30693,2966,WN,AUS,"Austin, TX",TX,BNA,"Nashville, TN",TN,,-3
1639,4,740,13,4,120,680,3,19930,2017-04-20,30559,31401,65,AS,SEA,"Seattle, WA",WA,KTN,"Ketchikan, AK",AK,,-7
1640,7,852,10,4,96,577,3,19790,2017-04-02,30397,30852,2525,DL,ATL,"Atlanta, GA",GA,BWI,"Baltimore, MD",MD,,-12
1641,6,800,11,8,131,787,4,19393,2017-04-22,30852,31454,6358,WN,BWI,"Baltimore, MD",MD,MCO,"Orlando, FL",FL,,9
1642,1,1630,8,5,188,"1,448",6,19930,2017-04-24,30299,30559,84,AS,ANC,"Anchorage, AK",AK,SEA,"Seattle, WA",WA,,-22
1643,7,725,15,12,280,"1,788",8,19805,2017-04-02,33195,30466,582,AA,TPA,"Tampa, FL",FL,PHX,"Phoenix, AZ",AZ,,-19
1644,6,1335,10,4,68,333,2,19393,2017-04-29,32457,32575,2739,WN,SJC,"San Jose, CA",CA,ONT,"Ontario, CA",CA,,12
1645,2,1850,9,3,97,585,3,19805,2017-04-18,30977,34653,1543,AA,ORD,"Chicago, IL",IL,TUL,"Tulsa, OK",OK,,-20
1646,1,1425,19,12,82,259,2,19790,2017-04-24,30994,30397,1389,DL,CHS,"Charleston, SC",SC,ATL,"Atlanta, GA",GA,,4
1647,2,1930,12,5,65,187,1,20409,2017-04-04,30721,31703,317,B6,BOS,"Boston, MA",MA,JFK,"New York, NY",NY,,37
1648,2,855,20,7,354,"2,485",10,19977,2017-04-11,32575,33830,417,UA,LAX,"Los Angeles, CA",CA,OGG,"Kahului, HI",HI,,-1
1649,2,100,15,12,294,"2,218",9,20436,2017-04-18,32575,31454,1632,F9,LAX,"Los Angeles, CA",CA,MCO,"Orlando, FL",FL,,-15
1650,5,1756,19,4,165,926,4,20304,2017-04-28,34653,34614,4662,OO,TUL,"Tulsa, OK",OK,SLC,"Salt Lake City, UT",UT,,-10
